name1,name2,distance,forced_redirection
Kobo,Sekota,83.94,0
Sekota,Gonder,170.13,0
Gonder,Injibara,187.71,0
Injibara,Debre Markos,114.83,0
Debre Markos,Kombolcha,94.34,0
Kombolcha,Bako,66.45,0
Bako,Welkite,124.21,0
Welkite,Becho,60.36,0
Becho,Sodo,42.05,0
Sodo,China Camp,182.06,0
China Camp,Ataye,91.65,0
Ataye,Kemise,42.16,0
Kemise,Asbuli,163.54,0
Asbuli,Qoliji,161.24,0
Qoliji,Qoliji 2,0.55,0
Qoliji 2,Abdi balay,373.68,0
Abdi balay,Elmahan,228.41,0
Elmahan,Dati,63.96,0
Dati,Beledul Amin,68.01,0
Beledul Amin,Moyale,5.15,0
Moyale,Sadey,242.08,0
Sadey,Bula Ad,176.76,0
Bula Ad,Mustahil town,284.88,0
Mustahil town,Gedeb,721.86,0
Gedeb,Arba Minch,78.49,0
Arba Minch,Gidole,47.17,0
Gidole,Tepi,273.4,0
Tepi,Abobo,126.75,0
Abobo,Gimbi,200.37,0
