name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Shewa Robit,Ethiopia,16,18-09-2023,31-12-2023,104,111
Shikute,Ethiopia,4,18-10-2023,31-12-2023,74,81
Shilabo,Ethiopia,1,10-09-2023,31-12-2023,112,119
Shino,Ethiopia,2,19-10-2023,31-12-2023,73,80
Sire,Ethiopia,1,02-02-2023,31-12-2023,332,339
Sirinka,Ethiopia,1,21-10-2023,31-12-2023,71,78
Sodo,Ethiopia,1,04-10-2023,31-12-2023,88,95
Sululta,Ethiopia,2,03-11-2023,31-12-2023,58,65
Teji,Ethiopia,1,12-09-2023,31-12-2023,110,117
Tepi,Ethiopia,1,11-06-2023,31-12-2023,203,210
Tis Abay,Ethiopia,2,30-11-2023,31-12-2023,31,38
Torre,Ethiopia,1,30-01-2023,31-12-2023,335,342
Tulu Bolo,Ethiopia,1,12-09-2023,31-12-2023,110,117
Tulu Guled,Ethiopia,3,12-03-2023,31-12-2023,294,301
Tulu Milki,Ethiopia,2,15-10-2023,31-12-2023,77,84
Ula Lankesa,Ethiopia,1,19-11-2023,31-12-2023,42,49
Wabe,Ethiopia,2,16-11-2023,31-12-2023,45,52
Wadera,Ethiopia,1,14-11-2023,31-12-2023,47,54
Wama Tobera,Ethiopia,1,23-08-2023,31-12-2023,130,137
Wara Jarso,Ethiopia,1,01-11-2023,31-12-2023,60,67
Wedesa,Ethiopia,4,17-05-2023,31-12-2023,228,235
Wegeltena,Ethiopia,5,23-09-2023,31-12-2023,99,106
Weldiya,Ethiopia,12,23-11-2023,31-12-2023,38,45
Welenchiti,Ethiopia,3,31-10-2023,31-12-2023,61,68
Welkite,Ethiopia,3,15-10-2023,31-12-2023,77,84
Wereta,Ethiopia,3,26-08-2023,31-12-2023,127,134
Wesen Kurkur,Ethiopia,1,24-01-2023,31-12-2023,341,348
Weyn Wuha,Ethiopia,7,20-11-2023,31-12-2023,41,48
Wichale,Ethiopia,3,11-11-2023,31-12-2023,50,57
Wirgesa,Ethiopia,2,26-10-2023,31-12-2023,66,73
Yabelo,Ethiopia,1,03-01-2023,31-12-2023,362,369
Yaya Haro,Ethiopia,2,04-12-2023,31-12-2023,27,34
Yefag,Ethiopia,1,02-08-2023,31-12-2023,151,158
Yejube,Ethiopia,1,19-11-2023,31-12-2023,42,49
Zinanfe,Ethiopia,1,04-02-2023,31-12-2023,330,337
Ziway,Ethiopia,2,11-06-2023,31-12-2023,203,210
Zobel Mountains,Ethiopia,1,18-10-2023,31-12-2023,74,81
