name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Jiga,Ethiopia,9,07-11-2023,12-01-2024,66,73
Kalim,Ethiopia,2,26-11-2023,12-01-2024,47,54
Kawa Gebeya,Ethiopia,1,20-11-2023,12-01-2024,53,60
Kegni,Ethiopia,3,02-01-2024,12-01-2024,10,17
Kelle Town,Ethiopia,1,26-08-2023,12-01-2024,139,146
Kemise,Ethiopia,2,25-01-2023,12-01-2024,352,359
Kewet,Ethiopia,3,05-11-2023,12-01-2024,68,75
Kilbeabo,Ethiopia,1,15-10-2023,12-01-2024,89,96
Kiremu,Ethiopia,4,04-08-2023,12-01-2024,161,168
Kobo,Ethiopia,13,07-10-2023,12-01-2024,97,104
Kobo Robit,Ethiopia,5,03-11-2023,12-01-2024,70,77
Kobo Zuria,Ethiopia,3,27-11-2023,12-01-2024,46,53
Kola Diba town,Ethiopia,3,28-09-2023,12-01-2024,106,113
Koloji IDP Camp,Ethiopia,3,25-09-2023,12-01-2024,109,116
Kombolcha,Ethiopia,4,28-12-2023,12-01-2024,15,22
Kone Town,Ethiopia,3,18-11-2023,12-01-2024,55,62
Koneji,Ethiopia,1,18-11-2023,12-01-2024,55,62
Kontema,Ethiopia,2,20-12-2023,12-01-2024,23,30
Koshe,Ethiopia,1,27-09-2023,12-01-2024,107,114
Kuch,Ethiopia,1,23-10-2023,12-01-2024,81,88
Kulmesk,Ethiopia,1,04-01-2024,12-01-2024,8,15
Kuni,Ethiopia,1,14-05-2023,12-01-2024,243,250
Kwarit,Ethiopia,2,04-01-2024,12-01-2024,8,15
Lalibela,Ethiopia,12,09-11-2023,12-01-2024,64,71
Lemi,Ethiopia,1,04-09-2023,12-01-2024,130,137
Lencha,Ethiopia,1,27-12-2023,12-01-2024,16,23
Liben,Ethiopia,1,14-05-2023,12-01-2024,243,250
Licha Arida,Ethiopia,1,19-12-2023,12-01-2024,24,31
Lumame,Ethiopia,1,01-11-2023,12-01-2024,72,79
Mahidere Selam,Ethiopia,3,25-10-2023,12-01-2024,79,86
Majete,Ethiopia,10,08-09-2023,12-01-2024,126,133
Maksegnit town,Ethiopia,2,27-09-2023,12-01-2024,107,114
Malima,Ethiopia,1,22-11-2023,12-01-2024,51,58
Mankusa,Ethiopia,4,04-01-2024,12-01-2024,8,15
Mechiara,Ethiopia,1,11-07-2023,12-01-2024,185,192
Mega,Ethiopia,1,14-12-2023,12-01-2024,29,36
Mehal Meda,Ethiopia,1,26-10-2023,12-01-2024,78,85
Mekane Selam,Ethiopia,2,27-08-2023,12-01-2024,138,145
Mekane Yesus,Ethiopia,4,11-09-2023,12-01-2024,123,130
Mekdela,Ethiopia,1,02-09-2023,12-01-2024,132,139
Meki,Ethiopia,2,08-10-2023,12-01-2024,96,103
Meko,Ethiopia,4,18-11-2023,12-01-2024,55,62
Mekoy,Ethiopia,7,07-11-2023,12-01-2024,66,73
Mendida,Ethiopia,2,19-08-2023,12-01-2024,146,153
Mer Awi,Ethiopia,5,29-12-2023,12-01-2024,14,21
Merar,Ethiopia,1,15-01-2023,12-01-2024,362,369
Merhabete,Ethiopia,2,21-07-2023,12-01-2024,175,182
Mersa,Ethiopia,3,28-10-2023,12-01-2024,76,83
Mertule Mariam,Ethiopia,1,04-01-2024,12-01-2024,8,15
Meshenti,Ethiopia,3,15-11-2023,12-01-2024,58,65
Mesino Hagere Mariam,Ethiopia,2,05-11-2023,12-01-2024,68,75
Meta Robi,Ethiopia,1,14-06-2023,12-01-2024,212,219
